Chr	From	Top marker	To	arm	gew	kiel	lauf	laufdi
1	80330867	AX-75527022	80373370	1.46	1.28	6.71	1.66	1.62
1	147653720	AX-75289509	147680675	0.55	6.08	1.29	1.02	1.01
2	27746098	AX-76066604	28240351	0.53	1.03	0.16	0.11	7.00
2	42448161	AX-76092419	48280387	0.97	0.84	6.54	0.45	0.37
2	129987598	AX-76003640	130043402	0.57	1.29	6.37	0.89	2.10
2	134506295	AX-76029212	142942044	0.12	5.63	0.40	0.14	0.70
4	17284783	AX-76616819	21250309	1.21	6.13	7.53	1.29	2.65
5	9340231	AX-76889751	10176351	6.59	0.40	2.27	4.43	0.44
6	17083950	AX-76913314	26407907	1.66	7.55	4.67	2.86	2.34
7	21528069	AX-77001684	22033911	7.30	0.60	0.71	8.22	1.15
10	1029250	AX-75625056	9231656	2.07	1.95	6.07	2.11	7.41
12	9178808	AX-75727978	9181986	8.56	0.20	1.40	4.57	0.34
17	2492362	AX-75862322	3927532	6.85	0.74	1.63	4.84	0.10
Z	997228	AX-77188809	1098345	0.03	2.73	0.61	0.87	10.54
Z	63386940	AX-77247103	63418506	0.68	0.60	0.89	0.40	8.04
